CID,FSA,Comm_Name,PR,HR,health_region,HR_UID,HR_NAME,pop.2016,area.km2,pop.km2
491825080,V9R,NANAIMO,59,5904,Island,593,Vancouver Island,28376,64.60230834178942,439.2412706040159
491825081,T8A,SHERWOOD PARK,48,4834,Edmonton,4834,Edmonton Zone,43987,42.096778154276016,1044.9018173979184
491825098,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,75897,9.55494918864651,7943.2133548321945
491825162,N0A,PORT DOVER,35,3534,Haldimand-Norfolk,3534,Haldimand-Norfolk Health Unit,29853,1040.4808305218762,28.69154252945397
491825200,B1N,SYDNEY,12,1203,Zone 3 - Eastern,1203,Zone 3 - Eastern,5705,59.42901829225209,95.99687432063429
491825205,G9N,SHAWINIGAN,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec,16114,49.78305341739757,323.68444468230786
491825251,K1J,GLOUCESTER,35,3551,Ottawa,3551,Ottawa Public Health,26931,15.406383681402815,1748.0416272190243
491825301,G9H,BECANCOUR,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec,13028,446.5424011430913,29.17528092886586
491825322,L1J,OSHAWA,35,3530,Durham,3530,Durham Region Health Department,41793,23.36184526563659,1788.9425909979025
491825355,M3L,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,17339,5.726294447164888,3027.9616530345575
491825357,L5B,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,63394,10.403450905737264,6093.554972710032
491825404,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,47109,32.18375145450807,1463.7510504823797
491825410,A0A,HOLYROOD,10,1011,Eastern,1011,Eastern Regional Health Authority,46587,4631.026411193781,10.059756922869902
491825424,V3V,SURREY,59,5902,Fraser,591,Fraser,48927,19.282261491182453,2537.4098376569436
491825431,G9H,BECANCOUR,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec,13028,446.5424011430913,29.17528092886586
491825474,M9R,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health,33743,6.7015098255152585,5035.134003911664
491825494,T4N,RED DEER,48,4833,Central,4833,Central Zone,33829,530.2915824787361,63.79320569614452
491825509,M2M,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,32320,7.645224087408014,4227.475824185757
491825520,V3K,COQUITLAM,59,5902,Fraser,591,Fraser,30495,16.730209723666803,1822.7506112407737
491825572,M6M,YORK,35,3595,Toronto,3595,Toronto Public Health,42434,8.391811275783631,5056.596079853749
491825619,S4H,WEYBURN,47,4706,South,476,South,11193,19.383607536629984,577.4466893661635
491825640,V7C,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal,39252,11.284875962405353,3478.283689671455
491825852,J9E,MANIWAKI,24,2407,Outaouais,2407,Région de l'Outaouais,7769,588.3547206584726,13.204619130624328
491826257,N6J,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit,26943,9.533510103091363,2826.136408169682
491826299,E1E,MONCTON,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area),11006,36.11689759720782,304.7327077409569
491826414,J8A,SAINT-HIPPOLYTE,24,2415,Laurentides,2415,Région des Laurentides,9113,132.04575000949202,69.01395917206663
491826542,K9J,PETERBOROUGH,35,3555,Peterborough,3555,Peterborough Public Health,43047,267.3049852503078,161.04076757001084
491826639,V0J,VANDERHOOF,59,5905,Northern,594,Northern,52919,182288.1610160249,0.2903040971231692
491826790,H1G,MONTREAL-NORD,24,2406,Montréal,2406,Région de Montréal,48556,7.852432089353223,6183.561914000505
491826963,N8N,WINDSOR,35,3568,Windsor-Essex,3568,Windsor-Essex County Health Unit,24162,49.54775629929833,487.6507395016426
491827011,H4W,COTE SAINT-LUC,24,2406,Montréal,2406,Région de Montréal,24742,5.706919927533101,4335.438435123636
491827046,L6P,BRAMPTON,35,3553,Peel,3553,Peel Public Health,82182,46.15089596692546,1780.7238251429965
491827047,S6J,MOOSE JAW,47,4706,South,476,South,5317,349.00978756809604,15.23452977364593
491827083,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,47109,32.18375145450807,1463.7510504823797
491827100,N1H,GUELPH,35,3566,Wellington Dufferin Guelph,3566,Wellington-Dufferin-Guelph Health Unit,43789,225.47001621448666,194.21207633366248
491827131,H2N,MONTREAL,24,2406,Montréal,2406,Région de Montréal,6334,1.1259350203456533,5625.546666143763
491827148,J6E,JOLIETTE,24,2414,Lanaudière,2414,Région de Lanaudière,43876,71.13946338198764,616.7603453009642
491827197,L5A,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,47828,8.241923281747788,5803.014462160531
491827219,M9M,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,22263,6.5130149992780275,3418.2325700874126
491827230,B3H,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central,18814,6.63785552296577,2834.3491259951334
491827327,A0N,LOURDES,10,1013,Western,1013,Western Regional Health Authority,13815,12981.430319990037,1.0642124680765226
491827348,V1E,SALMON ARM,59,5901,Interior,592,Interior,19344,451.2100497694054,42.87138553293729
491827357,T9W,WAINWRIGHT,48,4833,Central,4833,Central Zone,8062,771.7071809665573,10.44696770853215
491827414,A2V,LABRADOR CITY,10,1014,Labrador-Grenfell,1014,Labrador-Grenfell Regional Health Authority,7288,39.65110223010734,183.80321328031516
491827586,T2K,CALGARY,48,4832,Calgary,4832,Calgary Zone,35544,13.656123658803088,2602.7883818324553
491827631,L3Z,BRADFORD,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit,33666,177.65889395206347,189.49797137138475
491827760,M2H,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,24497,7.681249914041321,3189.1945027357456
491827768,M1B,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,66108,35.781376278429235,1847.5533049815397
491827898,K0A,CARP,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit",103474,3410.4523831815786,30.34025647455898
491827992,L3X,NEWMARKET,35,3570,York,3570,York Region Public Health,42239,18.637401331979163,2266.3567333029314
491828051,V7C,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal,39252,11.284875962405353,3478.283689671455
491828199,P3E,SUDBURY,35,3561,Sudbury,3561,Sudbury and District Health Unit,27210,1211.1808020389115,22.465679735176174
491828287,M6J,TORONTO,35,3595,Toronto,3595,Toronto Public Health,32684,2.8561856397049197,11443.233782022891
491828577,L4Z,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,38102,9.953078478927441,3828.1623198962184
491828634,L6L,OAKVILLE,35,3536,Halton,3536,Halton Region Health Department,29742,17.206618864471455,1728.5208810786082
491829056,E2J,SAINT JOHN,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area),15813,31.700924568726336,498.81825893494204
491829579,L5L,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,44860,18.20621566030261,2463.9936622202117
491830124,L5R,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,37126,9.329027360444949,3979.621729636483
491830828,H3J,MONTREAL,24,2406,Montréal,2406,Région de Montréal,11071,1.097935441063321,10083.470836206938
491831276,K2J,NEPEAN,35,3551,Ottawa,3551,Ottawa Public Health,68963,48.7584073901742,1414.3817177649948
491831295,H1Y,MONTREAL,24,2406,Montréal,2406,Région de Montréal,27172,2.642202630114903,10283.84412698066
491831573,P0B,UTTERSON,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit,9138,1071.530875142433,8.527985718363304
491832658,M1J,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,36699,6.143421131663711,5973.707355149439
491832684,R5L,ANOLA,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority,NA,0,NA
491833531,L6C,MARKHAM,35,3570,York,3570,York Region Public Health,50929,53.139512562773675,958.4017154812552
491833767,V3B,PORT COQUITLAM,59,5902,Fraser,591,Fraser,56524,21.223848976781227,2663.2304094246497
491834337,M3J,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,25473,13.143767439541138,1938.0288122998993
491834842,M4C,EAST YORK,35,3595,Toronto,3595,Toronto Public Health,46866,4.977064162286787,9416.394579584185
491835948,M1W,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,48471,8.389703558418237,5777.438936011529
491836747,K1J,GLOUCESTER,35,3551,Ottawa,3551,Ottawa Public Health,26931,15.406383681402815,1748.0416272190243
491837905,V9R,NANAIMO,59,5904,Island,593,Vancouver Island,28376,64.60230834178942,439.2412706040159
491837909,S0E,TISDALE,47,4702,North,472,North,32755,28801.307003796548,1.1372747769982203
491838388,K0A,CARP,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit",103474,3410.4523831815786,30.34025647455898
491856332,T3A,CALGARY,48,4832,Calgary,4832,Calgary Zone,53224,22.394320218933245,2376.674061979423
491857875,L7R,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department,15866,5.927698843036561,2676.586719421188
491860661,M4K,TORONTO,35,3595,Toronto,3595,Toronto Public Health,31583,4.118024346886897,7669.454412982235
491861356,T3M,CALGARY,48,4832,Calgary,4832,Calgary Zone,40268,34.8080681759096,1156.8582259865022
491862306,M5N,TORONTO,35,3595,Toronto,3595,Toronto Public Health,16610,2.7538017063288796,6031.661597792731
491863904,M6H,TORONTO,35,3595,Toronto,3595,Toronto Public Health,44950,4.659969055934274,9645.98679958144
491869732,L7P,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department,29700,94.8808976280127,313.0240200344748
491872153,G8V,TROIS-RIVIERES,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec,9484,40.04736727888451,236.8195625433925
491875657,T6X,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,35649,45.605989805039364,781.6736387565667
491875672,V8R,VICTORIA,59,5904,Island,593,Vancouver Island,23572,8.009051421052785,2943.1700161192716
491881426,V8R,VICTORIA,59,5904,Island,593,Vancouver Island,23572,8.009051421052785,2943.1700161192716
491885222,H2X,MONTREAL,24,2406,Montréal,2406,Région de Montréal,19901,1.5649557478095069,12716.65350784247
491892137,G7J,CHICOUTIMI,24,2402,Saguenay,2402,Région du Saguenay—Lac-Saint-Jean,14860,18.607016650928628,798.6234590303533
491894504,M5B,TORONTO,35,3595,Toronto,3595,Toronto Public Health,12785,0.5955577951678342,21467.27001767655
491901750,K1P,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health,340,0.43539137190918437,780.906609400883
491919193,P3C,SUDBURY,35,3561,Sudbury,3561,Sudbury and District Health Unit,16249,10.888144705810577,1492.3570947150017
491938308,V6E,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal,26907,1.2449433934640852,21613.030874544922
491957854,J1J,SHERBROOKE,24,2405,Estrie,2405,Région de l'Estrie,14462,8.759423770658927,1651.0218455742206
492048071,H4K,MONTREAL,24,2406,Montréal,2406,Région de Montréal,11257,4.4255528960353345,2543.6369792539754
492056006,K2V,KANATA,35,3551,Ottawa,3551,Ottawa Public Health,2435,1.3808089103851562,1763.459072204852
492060304,M6K,TORONTO,35,3595,Toronto,3595,Toronto Public Health,40957,2.790032522477427,14679.757196389945
492105114,V3Z,SURREY,59,5902,Fraser,591,Fraser,29265,93.02561039278633,314.590787165309
492132099,C1E,CHARLOTTETOWN,11,1100,Prince Edward Island,1100,Prince Edward Island,11466,161.37114035558406,71.0535971595322
492151083,R3M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,22582,7.302738850597099,3092.264486241845
492152432,R3L,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,20078,5.6817080764984516,3533.7964798032635
492152498,R2H,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,15914,6.764482579109056,2352.582006663401
492152790,R1N,PORTAGE LA PRAIRIE,46,4605,Southern Health,4605,Southern Health—Santé Sud,16788,800.7813675849675,20.964523750883473
492154173,R3X,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,17962,17.847747643049143,1006.4015000231893
492167387,R3T,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,48009,25.127163851191504,1910.641419155766
492189247,L0S,NIAGARA ON THE LAKE,35,3546,Niagara,3546,Niagara Region Public Health Department,55265,625.3837739567905,88.36973759382893
492212174,R2W,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,28874,7.519824901558463,3839.717064956651
492214159,R2N,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,30306,40.71399486465729,744.3632122257749
492222013,R2M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,38195,15.646466669732607,2441.1262175815405
492224120,R7B,BRANDON,46,4602,Prairie Mountain,4602,Prairie Mountain Health,20977,13.426135126878851,1562.4004824742506
492248369,R3Y,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,21896,18.54041323575007,1180.9877008447475
492298202,R2W,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,28874,7.519824901558463,3839.717064956651
492303830,R1A,ST ANDREWS,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority,21390,444.83328575860463,48.08543039561927
492323841,R3M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,22582,7.302738850597099,3092.264486241845
492326919,R0L,CAMPERVILLE,46,4602,Prairie Mountain,4602,Prairie Mountain Health,26815,72051.59335078122,0.3721638724830401
492358061,M9C,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health,38291,14.38683676161419,2661.5301636121285
492380089,R2K,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,33413,10.6838459883312,3127.4318289961666
492387546,N1H,GUELPH,35,3566,Wellington Dufferin Guelph,3566,Wellington-Dufferin-Guelph Health Unit,43789,225.47001621448666,194.21207633366248
492387558,T4T,ROCKY MOUNTAIN HOUSE,48,4833,Central,4833,Central Zone,13389,7516.189513387476,1.7813547644257979
492387565,E2J,SAINT JOHN,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area),15813,31.700924568726336,498.81825893494204
492387576,H4C,MONTREAL,24,2406,Montréal,2406,Région de Montréal,17052,3.8921371378853946,4381.140590864274
492387596,A0B,HEART'S DESIRE,10,1011,Eastern,1011,Eastern Regional Health Authority,19792,5460.520292985241,3.624563033933861
492387601,L3R,MARKHAM,35,3570,York,3570,York Region Public Health,62298,19.637646716691805,3172.3760437673686
492387612,V3Y,PITT MEADOWS,59,5902,Fraser,591,Fraser,18861,96.41082616049431,195.63155665321494
492387613,T6A,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,14767,8.82019160701843,1674.2266673945676
492387617,V5J,BURNABY,59,5902,Fraser,591,Fraser,21918,14.567604685324467,1504.5713055407377
492387651,N5P,ST THOMAS,35,3575,Southwestern,3575,Southwestern Public Health,19945,295.29630149567964,67.54232917574082
492387658,P7B,THUNDER BAY,35,3562,Thunder Bay,3562,Thunder Bay District Health Unit,21917,13.937029761938529,1572.5732365051304
492387684,T4P,RED DEER,48,4833,Central,4833,Central Zone,32478,26.1458442014487,1242.1859378401882
492387687,M5N,TORONTO,35,3595,Toronto,3595,Toronto Public Health,16610,2.7538017063288796,6031.661597792731
492387689,E1B,RIVERVIEW,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area),19667,39.2074354465625,501.614037643574
492387692,L7S,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department,12191,3.9310923607936945,3101.173638550333
492387726,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,47109,32.18375145450807,1463.7510504823797
492387729,L4T,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,38445,47.7194081900521,805.6470408619715
492387752,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,75897,9.55494918864651,7943.2133548321945
492387755,M1S,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,37769,12.983957260795059,2908.8974371506256
492387766,L2G,NIAGARA FALLS,35,3546,Niagara,3546,Niagara Region Public Health Department,26096,31.720391451821474,822.6884601861209
492387768,M5R,TORONTO,35,3595,Toronto,3595,Toronto Public Health,26496,2.9151153007774506,9089.177362189967
492387770,N0R,BELLE RIVER,35,3568,Windsor-Essex,3568,Windsor-Essex County Health Unit,46403,791.9880952642548,58.59052715245319
492387772,L5C,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,29687,12.307242520068895,2412.1569028635517
492387774,N5P,ST THOMAS,35,3575,Southwestern,3575,Southwestern Public Health,19945,295.29630149567964,67.54232917574082
492387783,T2R,CALGARY,48,4832,Calgary,4832,Calgary Zone,13879,1.3194445000015729,10518.82060972133
492387785,N5V,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit,30857,38.61003569924329,799.196360251093
492387791,M1P,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,45571,11.297216840152355,4033.8253788342286
492387802,P6C,SAULT STE. MARIE,35,3526,Algoma,3526,Algoma Public Health Unit,19322,32.47336361026055,595.0107365500894
492387814,S7T,SASKATOON,47,4704,Saskatoon,474,Saskatoon,13202,117.48274480318335,112.37394923073226
492387815,M1K,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,48434,8.702474847282014,5565.543233385739
492387867,S4S,REGINA,47,4705,Regina,475,Regina,34958,871.0701221263834,40.13224551275328
492387877,N6J,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit,26943,9.533510103091363,2826.136408169682
492387888,K0C,ALEXANDRIA,35,3558,Eastern,3558,Eastern Ontario Health Unit,52154,2434.5741776082177,21.42222672025434
492387890,H2J,MONTREAL,24,2406,Montréal,2406,Région de Montréal,26559,1.9386706505695617,13699.593580888655
492387898,T2A,CALGARY,48,4832,Calgary,4832,Calgary Zone,59641,20.564011705339443,2900.260943953568
492387908,T3K,CALGARY,48,4832,Calgary,4832,Calgary Zone,80792,41.55836022914207,1944.061304501279
492387917,E1E,MONCTON,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area),11006,36.11689759720782,304.7327077409569
492387930,M1N,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,22136,5.9434685121935455,3724.4245434439604
492387936,M2R,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,40792,7.111053884891966,5736.421163488305
492387945,V9C,VICTORIA,59,5904,Island,593,Vancouver Island,22785,101.12809313240655,225.30831240106252
492387946,L9H,DUNDAS,35,3537,Hamilton,3537,Hamilton Public Health Services,31125,63.953728281169056,486.67999249646005
492387950,M4N,TORONTO,35,3595,Toronto,3595,Toronto Public Health,15330,4.893642713760278,3132.635726938965
492387962,P6A,SAULT STE. MARIE,35,3526,Algoma,3526,Algoma Public Health Unit,34720,562.6769829941386,61.705029793908736
492387965,N0P,BLENHEIM,35,3540,Chatham-Kent,3540,Chatham-Kent Health Unit,52190,2864.934145193311,18.216823617939912
492387969,T8A,SHERWOOD PARK,48,4834,Edmonton,4834,Edmonton Zone,43987,42.096778154276016,1044.9018173979184
492387978,L5C,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,29687,12.307242520068895,2412.1569028635517
492387998,J9H,GATINEAU,24,2407,Outaouais,2407,Région de l'Outaouais,31023,24.71575578890015,1255.1912336798712
492388002,V8M,SAANICHTON,59,5904,Island,593,Vancouver Island,16168,44.94585530460501,359.72171161115887
492388009,A1C,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority,12712,4.097314796743874,3102.5197307520025
492388010,G5L,RIMOUSKI,24,2401,Bas-Saint-Laurent,2401,Région du Bas-Saint-Laurent,29258,58.99593968755648,495.932434587039
492388012,A0N,LOURDES,10,1013,Western,1013,Western Regional Health Authority,13815,12981.430319990037,1.0642124680765226
492388022,P4N,TIMMINS,35,3556,Porcupine,3556,Porcupine Health Unit,24575,310.3094219024497,79.19514608784748
492388024,E2J,SAINT JOHN,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area),15813,31.700924568726336,498.81825893494204
492388028,L1R,WHITBY,35,3530,Durham,3530,Durham Region Health Department,40287,21.75036868927644,1852.2444642449973
492388070,M1K,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,48434,8.702474847282014,5565.543233385739
492388077,R2W,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,28874,7.519824901558463,3839.717064956651
492388078,K1V,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health,54835,35.56988145025114,1541.6132346882714
492388084,N2E,KITCHENER,35,3565,Waterloo,3565,"Region of Waterloo, Public Health",39149,12.701402877453164,3082.257950379258
492388103,B4A,BEDFORD,12,1204,Zone 4 - Central,1204,Zone 4 - Central,17900,22.789419597671497,785.4522105437441
492388122,V8S,VICTORIA,59,5904,Island,593,Vancouver Island,17102,7.02748307792625,2433.588215063572
492388124,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,75897,9.55494918864651,7943.2133548321945
492388128,L6S,BRAMPTON,35,3553,Peel,3553,Peel Public Health,53308,42.06570337133833,1267.2556436158789
492388130,R2Y,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,19887,24.474236408482458,812.5687628443198
492388134,T6L,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,51562,18.471727941090872,2791.4010083105923
492388137,K0L,DOURO-DUMMER,35,3555,Peterborough,3555,Peterborough Public Health,71343,7709.093422334344,9.25439556787691
492388160,V6J,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal,22188,4.079590130418626,5438.781664500984
492388176,L5M,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,104868,24.94455822669293,4204.043184368034
492388210,T2X,CALGARY,48,4832,Calgary,4832,Calgary Zone,43339,40.308330692432776,1075.1871698853602
492388223,M5A,TORONTO,35,3595,Toronto,3595,Toronto Public Health,41078,4.097052815917852,10026.231499970889
492388232,L5C,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,29687,12.307242520068895,2412.1569028635517
492388234,L7L,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department,46761,24.622698645826674,1899.101340296246
492388235,A1B,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority,19867,53.055626072795384,374.4560468053158
492388236,S4X,REGINA,47,4705,Regina,475,Regina,27895,14.53877946238165,1918.6617468252332
492388247,M8W,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health,20674,6.9512604713225,2974.136861262905
492388258,H9J,KIRKLAND,24,2406,Montréal,2406,Région de Montréal,21728,11.233894136336172,1934.146764808875
492388283,M2J,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,58293,10.121236613353302,5759.474086703201
492388299,V2N,PRINCE GEORGE,59,5905,Northern,594,Northern,32137,3606.5854241099996,8.910644341089045
492388303,T7X,SPRUCE GROVE,48,4834,Edmonton,4834,Edmonton Zone,44071,317.240253124779,138.91994967821978
492388311,V7R,NORTH VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal,14770,26.141258964657133,565.0072178990681
492388347,N6C,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit,30510,11.436646287512843,2667.7401078069965
492388358,N5R,ST THOMAS,35,3575,Southwestern,3575,Southwestern Public Health,27368,29.703014721548058,921.3879552820569
492388367,B3R,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central,8484,15.320716337320007,553.7600079007841
492388369,H3E,VERDUN,24,2406,Montréal,2406,Région de Montréal,20461,3.795946618861263,5390.2233235666645
492388371,V7W,WEST VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal,8611,855.2996204887216,10.067816930726147
492388380,K0A,CARP,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit",103474,3410.4523831815786,30.34025647455898
492388394,S4P,REGINA,47,4705,Regina,475,Regina,13423,292.4371035279726,45.90046829921513
492388402,V2G,WILLIAMS LAKE,59,5901,Interior,592,Interior,17970,2656.106418155446,6.76554217751539
492388403,V0E,ARMSTRONG,59,5901,Interior,592,Interior,65606,53583.28386597516,1.2243743807135186
492388426,N0L,KOMOKA,35,3575,Southwestern,3575,Southwestern Public Health,46908,2174.1090873592593,21.575734296284057
492388433,B2W,DARTMOUTH,12,1204,Zone 4 - Central,1204,Zone 4 - Central,32537,24.172275197501182,1346.046234132049
492388435,V0N,WHISTLER,59,5904,Island,593,Vancouver Island,79501,25374.93480518105,3.1330523845825806
492388436,L5W,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,24871,19.597693693494282,1269.0779021745943
492388437,L4S,RICHMOND HILL,35,3570,York,3570,York Region Public Health,35803,11.396006489774381,3141.714602578191
492388452,B3M,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central,32204,11.47942713037223,2805.3664729309326
