CID,FSA,Comm_Name,PR,HR,health_region,HR_UID,HR_NAME
492387726,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492387729,L4T,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492387752,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492387755,M1S,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492387766,L2G,NIAGARA FALLS,35,3546,Niagara,3546,Niagara Region Public Health Department
492387768,M5R,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492387770,N0R,BELLE RIVER,35,3568,Windsor-Essex,3568,Windsor-Essex County Health Unit
492387772,L5C,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492387774,N5P,ST THOMAS,35,3575,Southwestern,3575,Southwestern Public Health
492387783,T2R,CALGARY,48,4832,Calgary,4832,Calgary Zone
492387785,N5V,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit
492387791,M1P,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492387802,P6C,SAULT STE. MARIE,35,3526,Algoma,3526,Algoma Public Health Unit
492387814,S7T,SASKATOON,47,4704,Saskatoon,474,Saskatoon
492387815,M1K,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492387867,S4S,REGINA,47,4705,Regina,475,Regina
492387877,N6J,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit
492387888,K0C,ALEXANDRIA,35,3558,Eastern,3558,Eastern Ontario Health Unit
492387890,H2J,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492387898,T2A,CALGARY,48,4832,Calgary,4832,Calgary Zone
492387908,T3K,CALGARY,48,4832,Calgary,4832,Calgary Zone
492387917,E1E,MONCTON,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area)
492387930,M1N,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492387936,M2R,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492387945,V9C,VICTORIA,59,5904,Island,593,Vancouver Island
492387946,L9H,DUNDAS,35,3537,Hamilton,3537,Hamilton Public Health Services
492387950,M4N,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492387962,P6A,SAULT STE. MARIE,35,3526,Algoma,3526,Algoma Public Health Unit
492387965,N0P,BLENHEIM,35,3540,Chatham-Kent,3540,Chatham-Kent Health Unit
492387969,T8A,SHERWOOD PARK,48,4834,Edmonton,4834,Edmonton Zone
492387978,L5C,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492387998,J9H,GATINEAU,24,2407,Outaouais,2407,Région de l'Outaouais
492388002,V8M,SAANICHTON,59,5904,Island,593,Vancouver Island
492388009,A1C,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority
492388010,G5L,RIMOUSKI,24,2401,Bas-Saint-Laurent,2401,Région du Bas-Saint-Laurent
492388012,A0N,LOURDES,10,1013,Western,1013,Western Regional Health Authority
492388022,P4N,TIMMINS,35,3556,Porcupine,3556,Porcupine Health Unit
492388024,E2J,SAINT JOHN,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area)
492388028,L1R,WHITBY,35,3530,Durham,3530,Durham Region Health Department
492388070,M1K,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492388077,R2W,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388078,K1V,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health
492388084,N2E,KITCHENER,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492388103,B4A,BEDFORD,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492388122,V8S,VICTORIA,59,5904,Island,593,Vancouver Island
492388124,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492388128,L6S,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492388130,R2Y,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388134,T6L,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492388137,K0L,DOURO-DUMMER,35,3555,Peterborough,3555,Peterborough Public Health
492388160,V6J,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492388176,L5M,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492388210,T2X,CALGARY,48,4832,Calgary,4832,Calgary Zone
492388223,M5A,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492388232,L5C,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492388234,L7L,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department
492388235,A1B,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority
492388236,S4X,REGINA,47,4705,Regina,475,Regina
492388247,M8W,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492388258,H9J,KIRKLAND,24,2406,Montréal,2406,Région de Montréal
492388283,M2J,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492388299,V2N,PRINCE GEORGE,59,5905,Northern,594,Northern
492388303,T7X,SPRUCE GROVE,48,4834,Edmonton,4834,Edmonton Zone
492388311,V7R,NORTH VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492388347,N6C,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit
492388358,N5R,ST THOMAS,35,3575,Southwestern,3575,Southwestern Public Health
492388367,B3R,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492388369,H3E,VERDUN,24,2406,Montréal,2406,Région de Montréal
492388371,V7W,WEST VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492388380,K0A,CARP,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit"
492388394,S4P,REGINA,47,4705,Regina,475,Regina
492388402,V2G,WILLIAMS LAKE,59,5901,Interior,592,Interior
492388403,V0E,ARMSTRONG,59,5901,Interior,592,Interior
492388426,N0L,KOMOKA,35,3575,Southwestern,3575,Southwestern Public Health
492388433,B2W,DARTMOUTH,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492388435,V0N,WHISTLER,59,5904,Island,593,Vancouver Island
492388436,L5W,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492388437,L4S,RICHMOND HILL,35,3570,York,3570,York Region Public Health
492388452,B3M,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492388456,T3L,CALGARY,48,4832,Calgary,4832,Calgary Zone
492388474,S7K,SASKATOON,47,4704,Saskatoon,474,Saskatoon
492388475,J0K,RAWDON,24,2414,Lanaudière,2414,Région de Lanaudière
492388485,V2L,PRINCE GEORGE,59,5905,Northern,594,Northern
492388486,V0X,HOPE,59,5901,Interior,592,Interior
492388491,L6C,MARKHAM,35,3570,York,3570,York Region Public Health
492388492,V0H,SUMMERLAND,59,5901,Interior,592,Interior
492388501,N4N,HANOVER,35,3533,Grey Bruce,3533,Grey Bruce Health Unit
492388512,V1T,VERNON,59,5901,Interior,592,Interior
492388520,V9R,NANAIMO,59,5904,Island,593,Vancouver Island
492388522,G0L,SAINT-PASCAL,24,2401,Bas-Saint-Laurent,2401,Région du Bas-Saint-Laurent
492388524,V7J,NORTH VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492388533,T6X,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492388547,V6P,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492388559,R3J,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388564,K1V,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health
492388581,V2X,MAPLE RIDGE,59,5902,Fraser,591,Fraser
492388586,L9M,PENETANGUISHENE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
492388590,V1Z,WEST KELOWNA,59,5901,Interior,592,Interior
492388596,T5T,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492388608,S7K,SASKATOON,47,4704,Saskatoon,474,Saskatoon
492388614,M1G,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492388622,R9A,THE PAS,46,4604,Northern,4604,Northern Regional Health Authority
492388633,N6B,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit
492388636,M6J,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492388637,K7K,KINGSTON,35,3541,Kingston Frontenac Lennox & Addington,3541,"Kingston, Frontenac and Lennox and Addington Health Unit"
492388641,M6P,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492388647,E2H,ROTHESAY,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area)
492388652,M3J,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492388655,H1E,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492388688,M3A,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492388692,L0R,BEAMSVILLE,35,3546,Niagara,3546,Niagara Region Public Health Department
492388695,T2Y,CALGARY,48,4832,Calgary,4832,Calgary Zone
492388696,J6A,REPENTIGNY,24,2414,Lanaudière,2414,Région de Lanaudière
492388703,V2J,QUESNEL,59,5905,Northern,594,Northern
492388704,T8L,FORT SASKATCHEWAN,48,4834,Edmonton,4834,Edmonton Zone
492388710,N6E,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit
492388718,B1P,SYDNEY,12,1203,Zone 3 - Eastern,1203,Zone 3 - Eastern
492388722,R2P,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388727,R3T,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388743,R3T,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388745,P3E,SUDBURY,35,3561,Sudbury,3561,Sudbury and District Health Unit
492388752,G9B,TROIS-RIVIERES,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec
492388758,B2X,DARTMOUTH,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492388765,M5A,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492388766,L4L,WOODBRIDGE,35,3570,York,3570,York Region Public Health
492388799,R2M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388814,H4G,VERDUN,24,2406,Montréal,2406,Région de Montréal
492388817,H1E,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492388825,M9B,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492388830,L4M,BARRIE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
492388831,T1B,MEDICINE HAT,48,4831,South,4831,South Zone
492388844,N5A,STRATFORD,35,3539,Huron Perth,3539,Huron Perth Health Unit
492388846,T5X,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492388857,R4A,WEST ST PAUL,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388874,S7L,SASKATOON,47,4704,Saskatoon,474,Saskatoon
492388879,L1P,WHITBY,35,3530,Durham,3530,Durham Region Health Department
492388881,S6H,MOOSE JAW,47,4706,South,476,South
492388885,V9C,VICTORIA,59,5904,Island,593,Vancouver Island
492388887,M2M,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492388897,R2M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388900,B3H,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492388930,T6L,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492388946,R3T,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492388973,L6X,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492388982,V0R,GABRIOLA,59,5904,Island,593,Vancouver Island
492388992,K2K,KANATA,35,3551,Ottawa,3551,Ottawa Public Health
492388994,V2R,CHILLIWACK,59,5902,Fraser,591,Fraser
492388996,E1B,RIVERVIEW,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area)
492388999,J4W,BROSSARD,24,2416,Montérégie,2416,Région de la Montérégie
492389019,B3V,HERRING COVE,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492389029,P6A,SAULT STE. MARIE,35,3526,Algoma,3526,Algoma Public Health Unit
492389032,V2B,KAMLOOPS,59,5901,Interior,592,Interior
492389050,M4P,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492389057,B3N,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492389065,S0K,WARMAN,47,4703,Central,473,Central
492389066,L2M,ST CATHARINES,35,3546,Niagara,3546,Niagara Region Public Health Department
492389069,N1G,GUELPH,35,3566,Wellington Dufferin Guelph,3566,Wellington-Dufferin-Guelph Health Unit
492389074,M6N,YORK,35,3595,Toronto,3595,Toronto Public Health
492389099,B3K,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492389120,V5S,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492389127,B2V,DARTMOUTH,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492389134,V5S,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492389137,V9M,COMOX,59,5904,Island,593,Vancouver Island
492389138,L6S,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492389151,V0C,BALDONNEL,59,5905,Northern,594,Northern
492389176,L2G,NIAGARA FALLS,35,3546,Niagara,3546,Niagara Region Public Health Department
492389224,K1R,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health
492389253,E3B,FREDERICTON,13,1303,Zone 3 (Fredericton area),1303,Zone 3 (Fredericton area)
492389297,E3B,FREDERICTON,13,1303,Zone 3 (Fredericton area),1303,Zone 3 (Fredericton area)
492389303,V3M,NEW WESTMINSTER,59,5902,Fraser,591,Fraser
492389324,T3B,CALGARY,48,4832,Calgary,4832,Calgary Zone
492389337,A1E,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority
492389355,N2L,WATERLOO,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492389356,N2N,KITCHENER,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492389359,K6K,CORNWALL,35,3558,Eastern,3558,Eastern Ontario Health Unit
492389370,T6W,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492389372,N3T,BRANTFORD,35,3527,Brant,3527,Brant County Health Unit
492389378,J7V,VAUDREUIL-DORION,24,2416,Montérégie,2416,Région de la Montérégie
492389392,S7M,SASKATOON,47,4704,Saskatoon,474,Saskatoon
492389399,K0H,INVERARY,35,3541,Kingston Frontenac Lennox & Addington,3541,"Kingston, Frontenac and Lennox and Addington Health Unit"
492389403,V3E,COQUITLAM,59,5902,Fraser,591,Fraser
492389419,G0X,SHAWINIGAN,24,2414,Lanaudière,2414,Région de Lanaudière
492389432,R2G,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492389437,V9W,CAMPBELL RIVER,59,5904,Island,593,Vancouver Island
492389442,S0E,TISDALE,47,4702,North,472,North
492389451,R1A,ST ANDREWS,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority
492389456,L4C,RICHMOND HILL,35,3570,York,3570,York Region Public Health
492389465,T6X,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492389471,B0J,HUBBARDS,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492389476,R2N,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
